区域,25年均,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
全国,138,98,97,129,144,156,153,138,127,119,103,96,86
京津冀及周边地区,166,83,103,124,158,198,213,175,157,154,104,94,73
汾渭平原,159,89,100,116,143,181,197,166,164,135,91,86,73
长三角地区,159,103,104,140,172,182,176,160,154,144,124,120,90
成渝地区,149,85,85,123,163,168,182,155,157,113,85,76,67
珠三角,150,145,122,181,168,157,122,157,130,124,145,133,146
