,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2020年,93,107,122,160,189,169,151,160,186,132,111,73
2021年,78,105,124,138,168,201,143,157,175,149,113,86
2022年,86,111,138,168,182,195,168,168,168,138,116,74
2023年,99,98,144,158,174,204,149,177,161,167,119,81
2024年,85,110,134,154,188,199,144,175,151,139,115,83
2025年,103,104,140,172,182,176,160,154,144,124,120,90
,,,,,,,,,,,,
