,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2020年,90,101,121,163,191,215,188,177,178,124,98,65
2021年,76,105,113,143,175,220,179,173,170,128,96,66
2022年,74,104,119,162,188,232,179,162,197,137,100,68
2023年,84,98,147,149,174,222,205,181,183,149,95,72
2024年,73,108,131,164,199,221,174,170,174,149,98,68
2025年,83,103,124,158,198,213,175,157,154,104,94,73
