,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2020年,90,111,123,162,179,199,189,168,155,96,101,63
2021年,75,106,110,129,180,212,196,182,160,95,85,65
2022年,79,98,122,146,179,211,189,164,163,118,87,72
2023年,83,96,130,147,163,201,203,173,164,117,81,73
2024年,75,103,125,156,195,205,181,176,165,139,93,72
2025年,89,100,116,143,181,197,166,164,135,91,86,73
