,25年均,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
全国,28.0 ,53.1,37.3,31.5,28.1,24.5,16.3,14.5,13.9,16.0 ,23.5,33.9,44.6
京津冀及周边地区,37.3 ,61.0,49.5,42.3,32.6,33.4,24.2,18.3,17.7,21.5,34.7,52.4,63.9
汾渭平原,33.7 ,61.8,48.3,37.4,27.1,28.4,20.4,18.5,17.9,20.4,28.9,42.1,56.3
长三角地区,31.7 ,58.0,48.1,37.2,32.9,29.3,18.1,14.6,14.8,17.0 ,23.2,43.6,49.1
成渝地区,33 ,75,35,34,37,35,19,14,16,15,16,36,62
