微克/立方米,全年,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
2021,30,54,43,38,39,22,19,16,17,19,26,36,45
2022,29,56,38,35,30,23,17,17,16,23,27,35,45
2023,30,55,46,36,28,23,18,15,17,19,28,33,46
2024,29.3,51,45,34,28,22,17,16,17,19 ,28.5,32.4,43.1
2025,28.0,53.1,37.3,31.5,28.1,24.5,16.3,14.5,13.9,16.0,23.5,33.9,44.6
