,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2020年,112,114,113,175,137,86,114,164,166,171,162,108
2021年,138,151,131,165,123,137,164,129,183,153,133,136
2022年,123,111,150,190,174,86,175,152,215,191,143,104
2023年,103,159,177,142,154,152,133,124,139,157,169,125
2024年,149,103,132,114,180,90,97,148,169,167,141,142
2025年,145,122,181,168,157,122,157,130,124,145,133,146
