,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2020年,71,90,139,155,184,156,136,153,114,66,93,49
2021年,72,107,126,111,151,157,152,168,131,92,67,68
2022年,74,92,147,154,158,154,177,164,135,131,82,64
2023年,85,93,115,165,161,168,173,150,164,98,88,71
2024年,68,98,134,143,162,146,134,182,166,100,74,74
2025年,85,85,123,163,168,182,155,157,113,85,76,67
,,,,,,,,,,,,
