城市,PM25,O3
营口市,72,127
张掖市,54,113
淄博市,69,162
长春市,75,135
沈阳市,73,141
哈尔滨市,76,138
四平市,85,135
辽阳市,86,136
鞍山市,83,132
吐鲁番市,61,111
阿克苏地区,108,112
克孜勒苏柯尔克孜自治州,108,112
喀什地区,122,113
和田地区,123,106
