城市,PM25,O3
北京市,23.6,191
扬州市,22.5,185
忻州市,21.1,170
滁州市,28,184
晋中市,22.9,172
酒泉市,30,128
德阳市,25.3,164
铜陵市,24.4,162
德州市,21,188
镇江市,25.9,185
开封市,28.2,163
唐山市,28.5,150
新乡市,27.2,169
廊坊市,28.4,190
太原市,22.1,181
榆林市,23,155
天津市,24.5,177
鹤壁市,33.3,165
临夏回族自治州,35,116
临汾市,23.1,174
海东市,32,128
马鞍山市,27.2,181
嘉峪关市,27,136
张掖市,32,142
阳泉市,24.1,167
平凉市,30,131
武威市,34,138
巴彦淖尔市,31,142
白银市,34,128
银川市,21.5,151
金昌市,37,142
中卫市,35,136
吴忠市,35,151
兰州市,23.8,146
乌海市,31,146
石嘴山市,34,158
巴音郭楞蒙古自治州,61,114
吐鲁番市,53,125
克孜勒苏柯尔克孜自治州,78,130
喀什地区,89,128
阿克苏地区,126,121
和田地区,136,126
